  R12134628 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sdcsc/chapeco/echotop/echotop20dbz
  R12134627 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sdcsc/chapeco/echotop/echotop35dbz
  R12137761 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sdcsc/chapeco/ppi/ppicz
  R12132556 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sdcsc/chapeco/agua_liquida/vil
  R12134629 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sdcsc/chapeco/echotop/waldvogel

### Radar 4964 - Morro da Igreja
  R12544964 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/morroigreja/cappi/cappi3km
  R12544594 | Centróides | TXT | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/decea/morroigreja/previsao_radar/cent_sistconvectivo
  R12547548 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/morroigreja/chuva/chuva24h
  R12574588 | Clusters 20 min | PNG | fase=Sistema de Previsão | freq=10 min | /oper/share/radar/decea/morroigreja/previsao_radar/rast_tempestade
  R12544956 | Doppler | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/morroigreja/ppi/ppivr
  R12542173 | DVIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/morroigreja/agua_liquida/dvil
  R12547599 | Echotop 20 dBz | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/morroigreja/echotop/echotop20dbz
  R12544485 | Echotop 35dBz | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/morroigreja/echotop/echotop35dbz
  R12544957 | PPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/decea/morroigreja/ppi/ppicz
  R12544955 | VIL | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/morroigreja/agua_liquida/vil
  R12544489 | Waldvogel | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/decea/morroigreja/echotop/waldvogel

### Radar 1379 - Porto Velho
  R13792141 | CAPPI | PNG | fase=Iniciação Convectiva | freq=10 min | /oper/share/radar/sipam/portovelho/cappi/cappi_3km
  R12797325 | Chuva 24hrs | PNG | fase=Convecção Madura | freq=10 min | /oper/share/radar/sipam/portovelho/chuva/chuva24h
